Res_prop	P	Cell_range	Effect	Method	PANEL	COORD	group	AUROC
Prop_0.10	75	Medium	0.00025	MIMOSA2	1	1	-1	0.881157670454545
Prop_0.10	75	Medium	5e-04	DiD Baseline	1	1	-1	0.844708017676768
Prop_0.10	75	Medium	5e-04	MIMOSA2	1	1	-1	0.907748579545456
Prop_0.10	75	Medium	0.001	DiD Baseline	1	1	-1	0.891167929292929
Prop_0.10	75	Medium	0.001	MIMOSA2	1	1	-1	0.929664614898989
Prop_0.10	75	Low	6.25e-05	DiD Baseline	1	1	-1	0.731724273989899
Prop_0.10	75	Low	6.25e-05	MIMOSA2	1	1	-1	0.753172348484848
Prop_0.10	75	Low	0.000125	DiD Baseline	1	1	-1	0.773502998737374
Prop_0.10	75	Low	0.000125	MIMOSA2	1	1	-1	0.803322285353536
Prop_0.10	75	Low	0.00025	DiD Baseline	1	1	-1	0.768209438131313
Prop_0.10	75	Low	0.00025	MIMOSA2	1	1	-1	0.805024463383838
Prop_0.10	75	Low	5e-04	DiD Baseline	1	1	-1	0.802305082070707
Prop_0.10	75	Low	5e-04	MIMOSA2	1	1	-1	0.847658617424244
Prop_0.10	75	Low	0.001	DiD Baseline	1	1	-1	0.845033933080808
Prop_0.10	75	Low	0.001	MIMOSA2	1	1	-1	0.891409406565659
Prop_0.10	100	High	6.25e-05	DiD Baseline	1	1	-1	0.872051767676768
Prop_0.10	100	High	6.25e-05	MIMOSA2	1	1	-1	0.9120554503367
Prop_0.10	100	High	0.000125	DiD Baseline	1	1	-1	0.865690235690236
Prop_0.10	100	High	0.000125	MIMOSA2	1	1	-1	0.898483796296296
Prop_0.10	100	High	0.00025	DiD Baseline	1	1	-1	0.888925189393939
Prop_0.10	100	High	0.00025	MIMOSA2	1	1	-1	0.928102377946129
Prop_0.10	100	High	5e-04	DiD Baseline	1	1	-1	0.90756050084175
Prop_0.10	100	High	5e-04	MIMOSA2	1	1	-1	0.945007365319867
Prop_0.10	100	High	0.001	DiD Baseline	1	1	-1	0.905085227272726
Prop_0.10	100	High	0.001	MIMOSA2	1	1	-1	0.942774095117851
Prop_0.10	100	Medium	6.25e-05	DiD Baseline	1	1	-1	0.813503261784512
Prop_0.10	100	Medium	6.25e-05	MIMOSA2	1	1	-1	0.854201914983165
Prop_0.10	100	Medium	0.000125	DiD Baseline	1	1	-1	0.842664141414141
Prop_0.10	100	Medium	0.000125	MIMOSA2	1	1	-1	0.879305555555556
Prop_0.10	100	Medium	0.00025	DiD Baseline	1	1	-1	0.878391203703704
Prop_0.10	100	Medium	0.00025	MIMOSA2	1	1	-1	0.918310711279463
Prop_0.10	100	Medium	5e-04	DiD Baseline	1	1	-1	0.881246317340068
Prop_0.10	100	Medium	5e-04	MIMOSA2	1	1	-1	0.924400778619529
Prop_0.10	100	Medium	0.001	DiD Baseline	1	1	-1	0.898927293771044
Prop_0.10	100	Medium	0.001	MIMOSA2	1	1	-1	0.921457807239058
Prop_0.10	100	Low	6.25e-05	DiD Baseline	1	1	-1	0.736132154882155
Prop_0.10	100	Low	6.25e-05	MIMOSA2	1	1	-1	0.747053345959596
Prop_0.10	100	Low	0.000125	DiD Baseline	1	1	-1	0.7559375
Prop_0.10	100	Low	0.000125	MIMOSA2	1	1	-1	0.797685185185187
Prop_0.10	100	Low	0.00025	DiD Baseline	1	1	-1	0.770097327441078
Prop_0.10	100	Low	0.00025	MIMOSA2	1	1	-1	0.813605850168351
Prop_0.10	100	Low	5e-04	DiD Baseline	1	1	-1	0.786446233164983
Prop_0.10	100	Low	5e-04	MIMOSA2	1	1	-1	0.835095223063977
Prop_0.10	100	Low	0.001	DiD Baseline	1	1	-1	0.835502946127946
Prop_0.10	100	Low	0.001	MIMOSA2	1	1	-1	0.874014099326601
Prop_0.25	10	High	6.25e-05	DiD Baseline	1	1	-1	0.864421296296296
Prop_0.25	10	High	6.25e-05	MIMOSA2	1	1	-1	0.901712962962963
Prop_0.25	10	High	0.000125	DiD Baseline	1	1	-1	0.897337962962963
Prop_0.25	10	High	0.000125	MIMOSA2	1	1	-1	0.895740740740741
Prop_0.25	10	High	0.00025	DiD Baseline	1	1	-1	0.912152777777778
Prop_0.25	10	High	0.00025	MIMOSA2	1	1	-1	0.929189814814815
Prop_0.25	10	High	5e-04	DiD Baseline	1	1	-1	0.909074074074074
Prop_0.25	10	High	5e-04	MIMOSA2	1	1	-1	0.943240740740741
Prop_0.25	10	High	0.001	DiD Baseline	1	1	-1	0.929259259259259
Prop_0.25	10	High	0.001	MIMOSA2	1	1	-1	0.972268518518519
Prop_0.25	10	Medium	6.25e-05	DiD Baseline	1	1	-1	0.840925925925926
Prop_0.25	10	Medium	6.25e-05	MIMOSA2	1	1	-1	0.881782407407408
Prop_0.25	10	Medium	0.000125	DiD Baseline	1	1	-1	0.849097222222222
Prop_0.25	10	Medium	0.000125	MIMOSA2	1	1	-1	0.869305555555556
Prop_0.25	10	Medium	0.00025	DiD Baseline	1	1	-1	0.864976851851852
Prop_0.25	10	Medium	0.00025	MIMOSA2	1	1	-1	0.910347222222222
Prop_0.25	10	Medium	5e-04	DiD Baseline	1	1	-1	0.887060185185185
Prop_0.25	10	Medium	5e-04	MIMOSA2	1	1	-1	0.915740740740741
Prop_0.25	10	Medium	0.001	DiD Baseline	1	1	-1	0.917314814814815
Prop_0.25	10	Medium	0.001	MIMOSA2	1	1	-1	0.938402777777778
Prop_0.25	10	Low	6.25e-05	DiD Baseline	1	1	-1	0.768888888888889
Prop_0.25	10	Low	6.25e-05	MIMOSA2	1	1	-1	0.803125
Prop_0.25	10	Low	0.000125	DiD Baseline	1	1	-1	0.713240740740741
Prop_0.25	10	Low	0.000125	MIMOSA2	1	1	-1	0.758611111111111
