Simulation 298 | MIMOSA2 elapsed = 17.3 sec | status = SUCCESS
Simulation 295 | MIMOSA2 elapsed = 17.51 sec | status = SUCCESS
Simulation 297 | MIMOSA2 elapsed = 17.47 sec | status = SUCCESS
Simulation 300 | MIMOSA2 elapsed = 17.79 sec | status = SUCCESS
Simulation 299 | MIMOSA2 elapsed = 18.9 sec | status = SUCCESS
Simulation 303 | MIMOSA2 elapsed = 18.17 sec | status = SUCCESS
Simulation 304 | MIMOSA2 elapsed = 16.65 sec | status = SUCCESS
Simulation 305 | MIMOSA2 elapsed = 16.25 sec | status = SUCCESS
Simulation 307 | MIMOSA2 elapsed = 17.45 sec | status = SUCCESS
Simulation 308 | MIMOSA2 elapsed = 17.4 sec | status = SUCCESS
Simulation 306 | MIMOSA2 elapsed = 18.49 sec | status = SUCCESS
Simulation 309 | MIMOSA2 elapsed = 17.72 sec | status = SUCCESS
Simulation 310 | MIMOSA2 elapsed = 17.46 sec | status = SUCCESS
Simulation 311 | MIMOSA2 elapsed = 17.39 sec | status = SUCCESS
Simulation 313 | MIMOSA2 elapsed = 17.02 sec | status = SUCCESS
Simulation 315 | MIMOSA2 elapsed = 16.47 sec | status = SUCCESS
Simulation 312 | MIMOSA2 elapsed = 17.48 sec | status = SUCCESS
Simulation 314 | MIMOSA2 elapsed = 17.42 sec | status = SUCCESS
Simulation 317 | MIMOSA2 elapsed = 16.92 sec | status = SUCCESS
Simulation 318 | MIMOSA2 elapsed = 16.75 sec | status = SUCCESS
Simulation 316 | MIMOSA2 elapsed = 17.58 sec | status = SUCCESS
Simulation 320 | MIMOSA2 elapsed = 16.73 sec | status = SUCCESS
Simulation 319 | MIMOSA2 elapsed = 17.17 sec | status = SUCCESS
Simulation 324 | MIMOSA2 elapsed = 6.71 sec | status = SUCCESS
Simulation 331 | MIMOSA2 elapsed = 7.1 sec | status = SUCCESS
Simulation 322 | MIMOSA2 elapsed = 7.69 sec | status = SUCCESS
Simulation 326 | MIMOSA2 elapsed = 8.45 sec | status = SUCCESS
Simulation 338 | MIMOSA2 elapsed = 8.52 sec | status = SUCCESS
Simulation 323 | MIMOSA2 elapsed = 9.34 sec | status = SUCCESS
